FIRE_YEAR,DISCOVERY_DOY,STAT_CAUSE_DESCR,FIRE_SIZE,FIRE_SIZE_CLASS,STATE,LATITUDE,LONGITUDE,OWNER_DESCR,MONTH,MONTH_NAME,CAUSE_TYPE,SIZE_CLASS_LABEL
1998,159,Children,0.1,A,FL,29.25,-81.08,MISSING/NOT SPECIFIED,6,Jun,Human,A: <0.25 acres
2011,217,Equipment Use,1500,F,OK,34.8261,-98.0625,PRIVATE,8,Aug,Human,F: 1000-4999 acres
2002,159,Miscellaneous,0.1,A,CA,39.95027778,-120.96694444,STATE OR PRIVATE,6,Jun,Human,A: <0.25 acres
2012,339,Debris Burning,25,C,KY,37.48386,-83.64056,PRIVATE,12,Dec,Human,C: 10-99.9 acres
1992,144,Smoking,0.51,B,GA,30.8131,-84.1945,PRIVATE,5,May,Human,B: 0.25-9.9 acres
2014,24,Debris Burning,20,C,TX,32.7296378,-100.8993641,MISSING/NOT SPECIFIED,1,Jan,Human,C: 10-99.9 acres
2006,211,Miscellaneous,1,B,MS,30.8358,-89.5625,MISSING/NOT SPECIFIED,7,Jul,Human,B: 0.25-9.9 acres
2013,262,Miscellaneous,1.1,B,ID,46.54999256,-116.4043703,UNDEFINED FEDERAL,9,Sep,Human,B: 0.25-9.9 acres
2013,353,Debris Burning,6,B,TX,32.442926,-95.3273512,PRIVATE,12,Dec,Human,B: 0.25-9.9 acres
2014,271,Miscellaneous,0.1,A,WY,41.16611111,-105.33805556,USFS,9,Sep,Human,A: <0.25 acres
2001,309,Debris Burning,1,B,GA,34.31,-84.7578,PRIVATE,11,Nov,Human,B: 0.25-9.9 acres
2004,277,Arson,3,B,OK,34.8832,-94.9877,BIA,10,Oct,Human,B: 0.25-9.9 acres
1999,115,Arson,0.2,A,WV,38.27276027,-82.46901817,PRIVATE,4,Apr,Human,A: <0.25 acres
2014,51,Miscellaneous,1,B,MO,38.1,-91.13,MISSING/NOT SPECIFIED,2,Feb,Human,B: 0.25-9.9 acres
2014,281,Children,2.1,B,MN,47.8733,-94.9997,BIA,10,Oct,Human,B: 0.25-9.9 acres
1999,279,Miscellaneous,0.3,B,FL,30.6081,-86.9039,MISSING/NOT SPECIFIED,10,Oct,Human,B: 0.25-9.9 acres
2011,230,Missing/Undefined,0.1,A,AZ,33.07149887,-111.808403,MISSING/NOT SPECIFIED,8,Aug,Human,A: <0.25 acres
1999,266,Debris Burning,4,B,MS,31.48626261,-89.98600407,MISSING/NOT SPECIFIED,9,Sep,Human,B: 0.25-9.9 acres
2006,246,Equipment Use,5,B,CA,38.64888888,-120.90111111,MISSING/NOT SPECIFIED,9,Sep,Human,B: 0.25-9.9 acres
1997,272,Arson,0.46,B,GA,34.2071,-84.4884,MISSING/NOT SPECIFIED,9,Sep,Human,B: 0.25-9.9 acres
2003,109,Smoking,18,C,AL,32.402369,-85.633275,MISSING/NOT SPECIFIED,4,Apr,Human,C: 10-99.9 acres
2009,81,Debris Burning,0.1,A,TN,36.295167,-88.55434,PRIVATE,3,Mar,Human,A: <0.25 acres
2011,49,Debris Burning,0.5,B,TX,30.104557,-95.555628,STATE OR PRIVATE,2,Feb,Human,B: 0.25-9.9 acres
2005,77,Missing/Undefined,1,B,PR,18.320265,-65.735077,MISSING/NOT SPECIFIED,3,Mar,Human,B: 0.25-9.9 acres
1999,190,Lightning,0.1,A,CO,37.2167,-108.5084,NPS,7,Jul,Natural,A: <0.25 acres
2006,78,Arson,0.2,A,FL,30.24167,-82.66777999,MISSING/NOT SPECIFIED,3,Mar,Human,A: <0.25 acres
2013,114,Equipment Use,3,B,AL,32.458099,-85.737326,MISSING/NOT SPECIFIED,4,Apr,Human,B: 0.25-9.9 acres
2009,98,Arson,132.4,D,MO,37.67805556,-91.01083333,USFS,4,Apr,Human,D: 100-299 acres
2001,69,Debris Burning,2,B,AR,34.41527778,-93.41722222,USFS,3,Mar,Human,B: 0.25-9.9 acres
2011,104,Miscellaneous,50,C,TX,32.714222,-102.963181,STATE OR PRIVATE,4,Apr,Human,C: 10-99.9 acres
2011,221,Lightning,0.1,A,AZ,35.33361111,-111.78833333,USFS,8,Aug,Natural,A: <0.25 acres
2000,71,Miscellaneous,0.2,A,WI,43.352517,-89.287461,MISSING/NOT SPECIFIED,3,Mar,Human,A: <0.25 acres
2004,239,Arson,0.1,A,MT,45.5989,-107.4509,BIA,8,Aug,Human,A: <0.25 acres
1992,140,Missing/Undefined,0.1,A,MT,46.92075,-113.15854,MISSING/NOT SPECIFIED,5,May,Human,A: <0.25 acres
2015,163,Miscellaneous,0.2,A,NC,36.360616,-75.824783,PRIVATE,6,Jun,Human,A: <0.25 acres
2006,59,Debris Burning,2,B,TX,32.31889,-95.13695001,MISSING/NOT SPECIFIED,2,Feb,Human,B: 0.25-9.9 acres
1993,107,Arson,2.5,B,GA,33.9503,-85.3531,PRIVATE,4,Apr,Human,B: 0.25-9.9 acres
1994,16,Smoking,1,B,AZ,31.504992,-109.46172058,MISSING/NOT SPECIFIED,1,Jan,Human,B: 0.25-9.9 acres
2001,304,Equipment Use,1,B,ID,43.6893,-113.0258,BLM,10,Oct,Human,B: 0.25-9.9 acres
2014,282,Miscellaneous,0.01,A,TX,32.039459,-96.444254,MISSING/NOT SPECIFIED,10,Oct,Human,A: <0.25 acres
1994,105,Equipment Use,0.5,B,FL,27.01,-82.1,MISSING/NOT SPECIFIED,4,Apr,Human,B: 0.25-9.9 acres
1998,248,Debris Burning,1,B,TN,35.4483,-86.7517,MISSING/NOT SPECIFIED,9,Sep,Human,B: 0.25-9.9 acres
2010,114,Debris Burning,0.2,A,NC,35.56645,-82.04968333,PRIVATE,4,Apr,Human,A: <0.25 acres
1997,210,Lightning,0.1,A,CA,40.36666667,-123.42166667,STATE OR PRIVATE,7,Jul,Natural,A: <0.25 acres
1999,242,Children,0.3,B,FL,30.28,-82.97,MISSING/NOT SPECIFIED,8,Aug,Human,B: 0.25-9.9 acres
2000,225,Lightning,0.3,B,ID,44.41861111,-114.90138889,USFS,8,Aug,Natural,B: 0.25-9.9 acres
2012,309,Miscellaneous,0.5,B,AL,34.194846,-86.385113,MISSING/NOT SPECIFIED,11,Nov,Human,B: 0.25-9.9 acres
2013,249,Lightning,0.01,A,MT,47.0457,-113.0882,PRIVATE,9,Sep,Natural,A: <0.25 acres
2015,28,Missing/Undefined,0.1,A,AZ,33.3712,-112.16027,MISSING/NOT SPECIFIED,1,Jan,Human,A: <0.25 acres
2002,157,Equipment Use,2,B,CA,39.82,-122.16888888,MISSING/NOT SPECIFIED,6,Jun,Human,B: 0.25-9.9 acres
1994,188,Miscellaneous,2,B,NH,43.1377833,-71.3824878,MISSING/NOT SPECIFIED,7,Jul,Human,B: 0.25-9.9 acres
1992,97,Debris Burning,0.1,A,WI,45.11735877,-90.81223422,MISSING/NOT SPECIFIED,4,Apr,Human,A: <0.25 acres
1992,127,Debris Burning,5,B,TX,32.43958,-94.57709,MISSING/NOT SPECIFIED,5,May,Human,B: 0.25-9.9 acres
2010,175,Miscellaneous,0.2,A,NC,34.17766666,-78.90766666,PRIVATE,6,Jun,Human,A: <0.25 acres
2013,69,Powerline,1,B,FL,30.4311,-84.0191,PRIVATE,3,Mar,Human,B: 0.25-9.9 acres
2006,258,Smoking,7,B,TX,31.74212002,-96.33381001,MISSING/NOT SPECIFIED,9,Sep,Human,B: 0.25-9.9 acres
2012,103,Debris Burning,0.1,A,WA,48.20728,-118.28697,PRIVATE,4,Apr,Human,A: <0.25 acres
2000,84,Arson,0.1,A,NC,35.7833,-80.5667,MISSING/NOT SPECIFIED,3,Mar,Human,A: <0.25 acres
1998,114,Railroad,5,B,FL,27.55,-80.37,MISSING/NOT SPECIFIED,4,Apr,Human,B: 0.25-9.9 acres
2015,341,Equipment Use,0.08,A,NC,35.791817,-79.102783,MISSING/NOT SPECIFIED,12,Dec,Human,A: <0.25 acres
1992,32,Missing/Undefined,10,C,SC,34.05833333,-81.85833333,MISSING/NOT SPECIFIED,2,Feb,Human,C: 10-99.9 acres
2001,141,Smoking,0.25,A,NH,44.3877146,-71.6819733,MISSING/NOT SPECIFIED,5,May,Human,A: <0.25 acres
2012,211,Lightning,0.1,A,AZ,36.7408,-113.625703,BLM,7,Jul,Natural,A: <0.25 acres
2008,225,Children,0.2,A,MD,38.81055,-76.03694,MISSING/NOT SPECIFIED,8,Aug,Human,A: <0.25 acres
1999,66,Arson,12,C,MS,31.16519319,-90.7304221,MISSING/NOT SPECIFIED,3,Mar,Human,C: 10-99.9 acres
2008,266,Debris Burning,20,C,TX,32.09824,-99.72456,MISSING/NOT SPECIFIED,9,Sep,Human,C: 10-99.9 acres
2008,14,Miscellaneous,1,B,CA,38.34888888,-123.05805555,MISSING/NOT SPECIFIED,1,Jan,Human,B: 0.25-9.9 acres
1993,195,Smoking,0.1,A,NC,35.4683,-81.025,MISSING/NOT SPECIFIED,7,Jul,Human,A: <0.25 acres
2014,94,Lightning,5,B,AR,34.38586,-92.3545,PRIVATE,4,Apr,Natural,B: 0.25-9.9 acres
2012,358,Miscellaneous,0.1,A,NY,41.5451,-73.9441,MISSING/NOT SPECIFIED,12,Dec,Human,A: <0.25 acres
2000,124,Debris Burning,0.1,A,MN,46.40789475,-94.18913216,MISSING/NOT SPECIFIED,5,May,Human,A: <0.25 acres
2002,53,Arson,20,C,AL,31.0642,-87.8103,MISSING/NOT SPECIFIED,2,Feb,Human,C: 10-99.9 acres
2007,78,Missing/Undefined,1,B,PR,18.291122,-66.012032,MISSING/NOT SPECIFIED,3,Mar,Human,B: 0.25-9.9 acres
2013,79,Debris Burning,5,B,TX,32.9319715,-95.5827334,PRIVATE,3,Mar,Human,B: 0.25-9.9 acres
2003,206,Lightning,0.1,A,AZ,36.4478,-113.1913,BLM,7,Jul,Natural,A: <0.25 acres
2012,258,Debris Burning,2,B,ND,47.06721,-98.676367,PRIVATE,9,Sep,Human,B: 0.25-9.9 acres
2006,38,Miscellaneous,1,B,TX,26.31280002,-98.69223001,MISSING/NOT SPECIFIED,2,Feb,Human,B: 0.25-9.9 acres
